municipalityCode,population,populationAsOf,areaKm2,areaAsOf
20429,715,2020-10-01,,
20430,3439,2020-10-01,,
20432,10584,2020-10-01,,
20446,2593,2020-10-01,,
20448,1639,2020-10-01,,
20450,8400,2020-10-01,,
20451,4279,2020-10-01,,
20452,4149,2020-10-01,,
20481,9382,2020-10-01,,
20482,9599,2020-10-01,,
20485,8575,2020-10-01,,
20486,2647,2020-10-01,,
20521,14004,2020-10-01,,
20541,10660,2020-10-01,,
20543,6617,2020-10-01,,
20561,11352,2020-10-01,,
20562,4375,2020-10-01,,
20563,3279,2020-10-01,,
20583,7739,2020-10-01,,
20588,2215,2020-10-01,,
20590,10296,2020-10-01,,
20602,1660,2020-10-01,,
21201,402557,2020-10-01,,
21202,158286,2020-10-01,,
21203,84419,2020-10-01,,
21204,106732,2020-10-01,,
21205,85283,2020-10-01,,
21206,76570,2020-10-01,,
21207,19247,2020-10-01,,
21208,37150,2020-10-01,,
21209,65649,2020-10-01,,
21210,47774,2020-10-01,,
21211,56689,2020-10-01,,
21212,55348,2020-10-01,,
21213,144521,2020-10-01,,
21214,99968,2020-10-01,,
21215,25280,2020-10-01,,
21216,56388,2020-10-01,,
21217,22538,2020-10-01,,
21218,32928,2020-10-01,,
21219,38997,2020-10-01,,
21220,30428,2020-10-01,,
21221,32735,2020-10-01,,
21302,25881,2020-10-01,,
21303,22208,2020-10-01,,
21341,26882,2020-10-01,,
21361,26402,2020-10-01,,
21362,6610,2020-10-01,,
21381,18585,2020-10-01,,
21382,9654,2020-10-01,,
21383,14355,2020-10-01,,
21401,19529,2020-10-01,,
21403,22041,2020-10-01,,
21404,23360,2020-10-01,,
21421,18139,2020-10-01,,
21501,8071,2020-10-01,,
21502,5626,2020-10-01,,
21503,9860,2020-10-01,,
21504,3402,2020-10-01,,
21505,10195,2020-10-01,,
21506,7412,2020-10-01,,
21507,2016,2020-10-01,,
21521,17516,2020-10-01,,
21604,1511,2020-10-01,,
22203,189386,2020-10-01,,
22205,34208,2020-10-01,,
22206,107783,2020-10-01,,
22207,128105,2020-10-01,,
22208,65491,2020-10-01,,
22209,95719,2020-10-01,,
22210,245392,2020-10-01,,
22211,166672,2020-10-01,,
22212,136845,2020-10-01,,
22213,114954,2020-10-01,,
22214,141342,2020-10-01,,
22215,86614,2020-10-01,,
22216,87864,2020-10-01,,
22219,20183,2020-10-01,,
22220,50911,2020-10-01,,
22221,57885,2020-10-01,,
22222,28190,2020-10-01,,
22223,31103,2020-10-01,,
22224,47789,2020-10-01,,
22225,46804,2020-10-01,,
22226,43502,2020-10-01,,
22301,11488,2020-10-01,,
22302,6870,2020-10-01,,
22304,7877,2020-10-01,,
22305,6038,2020-10-01,,
22306,7090,2020-10-01,,
22325,36794,2020-10-01,,
22341,31710,2020-10-01,,
22342,43336,2020-10-01,,
22344,18568,2020-10-01,,
22424,28919,2020-10-01,,
22429,6206,2020-10-01,,
22461,17457,2020-10-01,,
23201,371920,2020-10-01,,
23202,384654,2020-10-01,,
23203,380073,2020-10-01,,
23204,127792,2020-10-01,,
23205,117884,2020-10-01,,
23206,308681,2020-10-01,,
23207,184661,2020-10-01,,
23208,60942,2020-10-01,,
23209,72458,2020-10-01,,
23210,153834,2020-10-01,,
23211,422330,2020-10-01,,
23212,187990,2020-10-01,,
23213,169046,2020-10-01,,
23214,79538,2020-10-01,,
23215,73090,2020-10-01,,
23216,58710,2020-10-01,,
23217,98255,2020-10-01,,
23219,148831,2020-10-01,,
23220,134751,2020-10-01,,
23221,44355,2020-10-01,,
23222,113787,2020-10-01,,
23223,93123,2020-10-01,,
23224,84364,2020-10-01,,
23225,72193,2020-10-01,,
23226,83144,2020-10-01,,
23227,46106,2020-10-01,,
23228,47983,2020-10-01,,
23229,69295,2020-10-01,,
23230,91520,2020-10-01,,
23231,59360,2020-10-01,,
23232,60829,2020-10-01,,
23233,67352,2020-10-01,,
23234,86385,2020-10-01,,
23235,43025,2020-10-01,,
23236,61952,2020-10-01,,
23237,86126,2020-10-01,,
23238,60162,2020-10-01,,
23302,43903,2020-10-01,,
23342,15613,2020-10-01,,
23361,24305,2020-10-01,,
23362,34133,2020-10-01,,
23424,32399,2020-10-01,,
23425,37338,2020-10-01,,
23427,4575,2020-10-01,,
23441,28383,2020-10-01,,
23442,49596,2020-10-01,,
23445,16617,2020-10-01,,
23446,22496,2020-10-01,,
23447,43535,2020-10-01,,
23501,42449,2020-10-01,,
23561,4437,2020-10-01,,
23562,2942,2020-10-01,,
23563,1017,2020-10-01,,
24201,274537,2020-10-01,,
24202,305424,2020-10-01,,
24203,122765,2020-10-01,,
24204,159145,2020-10-01,,
24205,138613,2020-10-01,,
24207,195670,2020-10-01,,
24208,76387,2020-10-01,,
24209,16252,2020-10-01,,
24210,49835,2020-10-01,,
24211,17525,2020-10-01,,
24212,15965,2020-10-01,,
24214,44973,2020-10-01,,
24215,46057,2020-10-01,,
24216,88766,2020-10-01,,
24303,6023,2020-10-01,,
24324,25784,2020-10-01,,
24341,40559,2020-10-01,,
24343,11021,2020-10-01,,
24344,15123,2020-10-01,,
24441,14021,2020-10-01,,
24442,22445,2020-10-01,,
24443,8668,2020-10-01,,
24461,15041,2020-10-01,,
24470,7847,2020-10-01,,
24471,7815,2020-10-01,,
24472,10989,2020-10-01,,
24543,14604,2020-10-01,,
24561,8079,2020-10-01,,
24562,10321,2020-10-01,,
25201,345070,2020-10-01,,
25202,113647,2020-10-01,,
25203,113636,2020-10-01,,
25204,81122,2020-10-01,,
25206,143913,2020-10-01,,
25207,83236,2020-10-01,,
25208,68820,2020-10-01,,
25209,88358,2020-10-01,,
25210,50513,2020-10-01,,
25211,54460,2020-10-01,,
25212,46377,2020-10-01,,
25213,112819,2020-10-01,,
25214,37225,2020-10-01,,
25383,20964,2020-10-01,,
25384,11789,2020-10-01,,
25425,20893,2020-10-01,,
25441,7132,2020-10-01,,
25442,6362,2020-10-01,,
25443,7274,2020-10-01,,
26201,77306,2020-10-01,,
26202,80336,2020-10-01,,
26203,31846,2020-10-01,,
26204,179630,2020-10-01,,
26205,16758,2020-10-01,,
26206,86174,2020-10-01,,
26207,74607,2020-10-01,,
26208,56859,2020-10-01,,
26209,80608,2020-10-01,,
26210,70433,2020-10-01,,
26211,73753,2020-10-01,,
26212,50860,2020-10-01,,
26213,31629,2020-10-01,,
26214,77907,2020-10-01,,
26303,15953,2020-10-01,,
26322,15250,2020-10-01,,
26343,7406,2020-10-01,,
26344,8911,2020-10-01,,
26364,1144,2020-10-01,,
26365,3478,2020-10-01,,
26366,36198,2020-10-01,,
26367,2391,2020-10-01,,
26407,12907,2020-10-01,,
26463,1928,2020-10-01,,
26465,20092,2020-10-01,,
27202,190658,2020-10-01,,
27203,401558,2020-10-01,,
27204,104993,2020-10-01,,
27205,385567,2020-10-01,,
27206,74412,2020-10-01,,
27207,352698,2020-10-01,,
27208,84443,2020-10-01,,
27209,143096,2020-10-01,,
27210,397289,2020-10-01,,
27211,287730,2020-10-01,,
27212,264642,2020-10-01,,
27213,100131,2020-10-01,,
27214,108699,2020-10-01,,
27215,229733,2020-10-01,,
27216,101692,2020-10-01,,
27217,117641,2020-10-01,,
27218,119367,2020-10-01,,
27219,184495,2020-10-01,,
27220,136868,2020-10-01,,
27221,68775,2020-10-01,,
27222,108736,2020-10-01,,
27223,119764,2020-10-01,,
27224,87456,2020-10-01,,
27225,55635,2020-10-01,,
27226,63688,2020-10-01,,
27227,493940,2020-10-01,,
27228,60102,2020-10-01,,
27229,55177,2020-10-01,,
27230,75033,2020-10-01,,
27231,58435,2020-10-01,,
27232,51254,2020-10-01,,
27301,30927,2020-10-01,,
27321,18279,2020-10-01,,
27322,9079,2020-10-01,,
27341,16567,2020-10-01,,
27361,43763,2020-10-01,,
27362,8434,2020-10-01,,
27366,14741,2020-10-01,,
27381,13009,2020-10-01,,
27382,15697,2020-10-01,,
27383,4909,2020-10-01,,
28201,530495,2020-10-01,,
28202,459593,2020-10-01,,
28203,303601,2020-10-01,,
28204,485587,2020-10-01,,
28205,41236,2020-10-01,,
28206,93922,2020-10-01,,
28207,198138,2020-10-01,,
28208,28355,2020-10-01,,
28209,77489,2020-10-01,,
28210,260878,2020-10-01,,
28212,45892,2020-10-01,,
28213,38673,2020-10-01,,
28214,226432,2020-10-01,,
28215,75294,2020-10-01,,
28216,87722,2020-10-01,,
28217,152321,2020-10-01,,
28218,47562,2020-10-01,,
28219,109238,2020-10-01,,
28220,42700,2020-10-01,,
28221,39611,2020-10-01,,
28222,22129,2020-10-01,,
28223,61471,2020-10-01,,
28224,44137,2020-10-01,,
28225,28989,2020-10-01,,
28226,41967,2020-10-01,,
28227,34819,2020-10-01,,
28228,40645,2020-10-01,,
28229,74316,2020-10-01,,
28301,29680,2020-10-01,,
28365,19261,2020-10-01,,
28381,30268,2020-10-01,,
28382,33604,2020-10-01,,
28442,11231,2020-10-01,,
28443,19377,2020-10-01,,
28446,10616,2020-10-01,,
28464,33477,2020-10-01,,
28481,13879,2020-10-01,,
28501,15863,2020-10-01,,
28585,16064,2020-10-01,,
28586,13318,2020-10-01,,
29201,354630,2020-10-01,,
29202,61744,2020-10-01,,
29203,83285,2020-10-01,,
29204,63889,2020-10-01,,
29205,120922,2020-10-01,,
29206,54857,2020-10-01,,
29207,27927,2020-10-01,,
29208,24096,2020-10-01,,
29209,116675,2020-10-01,,
29210,78113,2020-10-01,,
29211,36832,2020-10-01,,
29212,28121,2020-10-01,,
29322,3226,2020-10-01,,
29342,18009,2020-10-01,,
29343,23219,2020-10-01,,
29344,27587,2020-10-01,,
29345,7225,2020-10-01,,
29361,8167,2020-10-01,,
29362,6439,2020-10-01,,
29363,31177,2020-10-01,,
29385,1295,2020-10-01,,
29386,1479,2020-10-01,,
29401,6729,2020-10-01,,
29402,5179,2020-10-01,,
29424,21714,2020-10-01,,
29425,24043,2020-10-01,,
29426,33810,2020-10-01,,
29427,17018,2020-10-01,,
29441,6229,2020-10-01,,
29442,16728,2020-10-01,,
29443,5037,2020-10-01,,
29444,623,2020-10-01,,
29446,1176,2020-10-01,,
29447,357,2020-10-01,,
29449,3061,2020-10-01,,
29450,753,2020-10-01,,
29451,444,2020-10-01,,
29452,1156,2020-10-01,,
29453,1502,2020-10-01,,
30201,356729,2020-10-01,,
30202,48369,2020-10-01,,
30203,60818,2020-10-01,,
30204,26538,2020-10-01,,
30205,23481,2020-10-01,,
30206,69870,2020-10-01,,
30207,27171,2020-10-01,,
30208,58816,2020-10-01,,
30209,53967,2020-10-01,,
30304,8256,2020-10-01,,
30341,15967,2020-10-01,,
30343,3856,2020-10-01,,
30344,2970,2020-10-01,,
30361,11122,2020-10-01,,
30362,6781,2020-10-01,,
30366,25258,2020-10-01,,
30381,6867,2020-10-01,,
30382,7673,2020-10-01,,
30383,5364,2020-10-01,,
30390,7720,2020-10-01,,
30391,11818,2020-10-01,,
30392,9219,2020-10-01,,
30401,20262,2020-10-01,,
30404,15236,2020-10-01,,
30406,3685,2020-10-01,,
30421,14137,2020-10-01,,
30422,2791,2020-10-01,,
30424,2480,2020-10-01,,
30427,404,2020-10-01,,
30428,14959,2020-10-01,,
31201,188465,2020-10-01,,
31202,147317,2020-10-01,,
31203,46485,2020-10-01,,
31204,32740,2020-10-01,,
31302,10799,2020-10-01,,
31325,2864,2020-10-01,,
31328,6427,2020-10-01,,
31329,15937,2020-10-01,,
31364,6060,2020-10-01,,
31370,16055,2020-10-01,,
31371,16365,2020-10-01,,
31372,14228,2020-10-01,,
31384,3501,2020-10-01,,
31386,15370,2020-10-01,,
31389,10323,2020-10-01,,
31390,10696,2020-10-01,,
31401,4196,2020-10-01,,
31402,2907,2020-10-01,,
31403,2672,2020-10-01,,
32201,203616,2020-10-01,,
32202,54592,2020-10-01,,
32203,172775,2020-10-01,,
32204,45003,2020-10-01,,
32205,32846,2020-10-01,,
32206,37062,2020-10-01,,
32207,22959,2020-10-01,,
32209,36007,2020-10-01,,
32343,11849,2020-10-01,,
32386,4577,2020-10-01,,
32441,3248,2020-10-01,,
32448,4355,2020-10-01,,
32449,10163,2020-10-01,,
32501,6875,2020-10-01,,
32505,6077,2020-10-01,,
32525,2267,2020-10-01,,
32526,2788,2020-10-01,,
32527,634,2020-10-01,,
32528,13433,2020-10-01,,
33202,474592,2020-10-01,,
33203,99937,2020-10-01,,
33204,56531,2020-10-01,,
33205,46088,2020-10-01,,
33207,38384,2020-10-01,,
33208,69030,2020-10-01,,
33209,29072,2020-10-01,,
33210,28079,2020-10-01,,
33211,32320,2020-10-01,,
33212,36048,2020-10-01,,
33213,42661,2020-10-01,,
33214,42725,2020-10-01,,
33215,25939,2020-10-01,,
33216,32772,2020-10-01,,
33346,13623,2020-10-01,,
33423,12368,2020-10-01,,
33445,10950,2020-10-01,,
33461,13414,2020-10-01,,
33586,813,2020-10-01,,
33606,12062,2020-10-01,,
33622,10888,2020-10-01,,
33623,5578,2020-10-01,,
33643,1398,2020-10-01,,
33663,4530,2020-10-01,,
33666,13053,2020-10-01,,
33681,10886,2020-10-01,,
34202,214592,2020-10-01,,
34203,23993,2020-10-01,,
34204,90573,2020-10-01,,
34205,131170,2020-10-01,,
34207,460930,2020-10-01,,
34208,37655,2020-10-01,,
34209,50681,2020-10-01,,
34210,33633,2020-10-01,,
34211,26319,2020-10-01,,
34212,196608,2020-10-01,,
34213,114173,2020-10-01,,
34214,26448,2020-10-01,,
34215,21930,2020-10-01,,
34302,51155,2020-10-01,,
34304,29636,2020-10-01,,
34307,22834,2020-10-01,,
34309,12582,2020-10-01,,
34368,5740,2020-10-01,,
34369,17763,2020-10-01,,
34431,7158,2020-10-01,,
34462,15125,2020-10-01,,
34545,8250,2020-10-01,,
35201,255051,2020-10-01,,
35202,162570,2020-10-01,,
35203,193966,2020-10-01,,
35204,44626,2020-10-01,,
35206,113979,2020-10-01,,
35207,55887,2020-10-01,,
35208,129125,2020-10-01,,
35210,49798,2020-10-01,,
35211,32519,2020-10-01,,
35212,30799,2020-10-01,,
35213,23247,2020-10-01,,
35215,137540,2020-10-01,,
35216,60326,2020-10-01,,
35305,14798,2020-10-01,,
35321,6034,2020-10-01,,
35341,2342,2020-10-01,,
35343,14483,2020-10-01,,
35344,11914,2020-10-01,,
35502,3055,2020-10-01,,
36201,252391,2020-10-01,,
36202,54622,2020-10-01,,
36203,36149,2020-10-01,,
36204,69470,2020-10-01,,
36205,38772,2020-10-01,,
36206,34713,2020-10-01,,
36207,28055,2020-10-01,,
36208,23605,2020-10-01,,
36301,4837,2020-10-01,,
36302,1380,2020-10-01,,
36321,2058,2020-10-01,,
36341,24833,2020-10-01,,
36342,4647,2020-10-01,,
36368,7367,2020-10-01,,
36383,3743,2020-10-01,,
36387,6222,2020-10-01,,
36388,8358,2020-10-01,,
36401,14583,2020-10-01,,
36402,22745,2020-10-01,,
36403,35246,2020-10-01,,
36404,13042,2020-10-01,,
36405,11384,2020-10-01,,
36468,7715,2020-10-01,,
36489,13622,2020-10-01,,
37201,417496,2020-10-01,,
37202,109513,2020-10-01,,
37203,50624,2020-10-01,,
37204,31631,2020-10-01,,
37205,57438,2020-10-01,,
37206,47003,2020-10-01,,
37207,28279,2020-10-01,,
37208,61857,2020-10-01,,
37322,12846,2020-10-01,,
37324,13870,2020-10-01,,
37341,26878,2020-10-01,,
37364,3103,2020-10-01,,
37386,18699,2020-10-01,,
37387,22693,2020-10-01,,
37403,8468,2020-10-01,,
37404,22445,2020-10-01,,
37406,17401,2020-10-01,,
38201,511192,2020-10-01,,
38202,151672,2020-10-01,,
38203,70809,2020-10-01,,
38204,31987,2020-10-01,,
38205,115938,2020-10-01,,
38206,104791,2020-10-01,,
38207,40575,2020-10-01,,
38210,35133,2020-10-01,,
38213,82754,2020-10-01,,
38214,35388,2020-10-01,,
38215,33903,2020-10-01,,
38356,6509,2020-10-01,,
38386,7404,2020-10-01,,
38401,29630,2020-10-01,,
38402,20480,2020-10-01,,
38422,15322,2020-10-01,,
38442,8397,2020-10-01,,
38484,3674,2020-10-01,,
38488,9682,2020-10-01,,
38506,19601,2020-10-01,,
39201,326545,2020-10-01,,
39202,11742,2020-10-01,,
39203,16243,2020-10-01,,
39204,46664,2020-10-01,,
39205,25732,2020-10-01,,
39206,20590,2020-10-01,,
39208,19033,2020-10-01,,
39209,12388,2020-10-01,,
39210,32694,2020-10-01,,
39211,32207,2020-10-01,,
39212,26513,2020-10-01,,
39301,2194,2020-10-01,,
39302,3034,2020-10-01,,
39303,2498,2020-10-01,,
39304,2370,2020-10-01,,
39305,1146,2020-10-01,,
39306,745,2020-10-01,,
39307,3694,2020-10-01,,
39341,3261,2020-10-01,,
39344,3252,2020-10-01,,
39363,3753,2020-10-01,,
39364,366,2020-10-01,,
39386,21374,2020-10-01,,
39387,4827,2020-10-01,,
39401,6002,2020-10-01,,
39402,12323,2020-10-01,,
39403,5187,2020-10-01,,
39405,3307,2020-10-01,,
39410,4812,2020-10-01,,
39411,5291,2020-10-01,,
39412,15607,2020-10-01,,
39424,4434,2020-10-01,,
39427,1437,2020-10-01,,
39428,10262,2020-10-01,,
40202,111281,2020-10-01,,
40203,303316,2020-10-01,,
40204,56212,2020-10-01,,
40205,126364,2020-10-01,,
40206,46203,2020-10-01,,
40207,64475,2020-10-01,,
40210,60608,2020-10-01,,
40211,48827,2020-10-01,,
40212,32988,2020-10-01,,
40213,71426,2020-10-01,,
40214,24391,2020-10-01,,
40215,40362,2020-10-01,,
40216,59360,2020-10-01,,
40217,103311,2020-10-01,,
40218,111023,2020-10-01,,
40219,102085,2020-10-01,,
40220,97095,2020-10-01,,
40221,73164,2020-10-01,,
40223,58786,2020-10-01,,
40224,67033,2020-10-01,,
40225,27981,2020-10-01,,
40226,26298,2020-10-01,,
40227,35473,2020-10-01,,
40228,50273,2020-10-01,,
40229,35861,2020-10-01,,
40230,98877,2020-10-01,,
40231,50112,2020-10-01,,
40341,37671,2020-10-01,,
40342,31209,2020-10-01,,
40343,46377,2020-10-01,,
40344,28628,2020-10-01,,
40345,32927,2020-10-01,,
40348,9068,2020-10-01,,
40349,48190,2020-10-01,,
40381,13545,2020-10-01,,
40382,28114,2020-10-01,,
40383,31007,2020-10-01,,
40384,18723,2020-10-01,,
40401,7151,2020-10-01,,
40402,15080,2020-10-01,,
40421,12878,2020-10-01,,
40447,29591,2020-10-01,,
40448,1899,2020-10-01,,
40503,15521,2020-10-01,,
40522,13820,2020-10-01,,
40544,19969,2020-10-01,,
40601,10191,2020-10-01,,
40602,8801,2020-10-01,,
40604,8407,2020-10-01,,
40605,15176,2020-10-01,,
40608,5008,2020-10-01,,
40609,2774,2020-10-01,,
40610,21398,2020-10-01,,
40621,37684,2020-10-01,,
40625,18825,2020-10-01,,
40642,6536,2020-10-01,,
40646,7251,2020-10-01,,
40647,17189,2020-10-01,,
41201,233301,2020-10-01,,
41202,117373,2020-10-01,,
41203,74196,2020-10-01,,
41204,18295,2020-10-01,,
41205,52629,2020-10-01,,
41206,47914,2020-10-01,,
41207,27892,2020-10-01,,
41208,43952,2020-10-01,,
41209,25848,2020-10-01,,
41210,31022,2020-10-01,,
41327,16323,2020-10-01,,
41341,17250,2020-10-01,,
41345,9286,2020-10-01,,
41346,25511,2020-10-01,,
41387,5609,2020-10-01,,
41401,19010,2020-10-01,,
41423,6293,2020-10-01,,
41424,9566,2020-10-01,,
41425,22051,2020-10-01,,
41441,8121,2020-10-01,,
42201,409118,2020-10-01,,
42202,243223,2020-10-01,,
42203,43338,2020-10-01,,
42204,133852,2020-10-01,,
42205,95397,2020-10-01,,
42207,29365,2020-10-01,,
42208,21271,2020-10-01,,
42209,28502,2020-10-01,,
42210,24948,2020-10-01,,
42211,34391,2020-10-01,,
42212,26275,2020-10-01,,
42213,41096,2020-10-01,,
42214,42330,2020-10-01,,
42307,40780,2020-10-01,,
42308,29339,2020-10-01,,
42321,7721,2020-10-01,,
42322,13377,2020-10-01,,
42323,14291,2020-10-01,,
42383,2288,2020-10-01,,
42391,13912,2020-10-01,,
42411,17503,2020-10-01,,
43202,123067,2020-10-01,,
43203,31108,2020-10-01,,
43204,50832,2020-10-01,,
43205,23557,2020-10-01,,
43206,64292,2020-10-01,,
43208,49025,2020-10-01,,
43210,46416,2020-10-01,,
43211,36122,2020-10-01,,
43212,24563,2020-10-01,,
43213,57032,2020-10-01,,
43214,24930,2020-10-01,,
43215,75783,2020-10-01,,
43216,61772,2020-10-01,,
43348,9392,2020-10-01,,
43364,5045,2020-10-01,,
43367,8979,2020-10-01,,
43368,15372,2020-10-01,,
43369,9342,2020-10-01,,
43403,35187,2020-10-01,,
43404,43337,2020-10-01,,
43423,3750,2020-10-01,,
43424,6590,2020-10-01,,
43425,1382,2020-10-01,,
43428,5789,2020-10-01,,
43432,6426,2020-10-01,,
43433,9836,2020-10-01,,
43441,16303,2020-10-01,,
43442,9547,2020-10-01,,
43443,32510,2020-10-01,,
43444,10132,2020-10-01,,
43447,13503,2020-10-01,,
43468,11094,2020-10-01,,
43482,15681,2020-10-01,,
43484,4254,2020-10-01,,
43501,10288,2020-10-01,,
43505,9076,2020-10-01,,
43506,3627,2020-10-01,,
43507,2033,2020-10-01,,
43510,4070,2020-10-01,,
43511,931,2020-10-01,,
43512,3238,2020-10-01,,
43513,2433,2020-10-01,,
43514,14676,2020-10-01,,
43531,7114,2020-10-01,,
44201,475614,2020-10-01,,
44202,115321,2020-10-01,,
44203,82863,2020-10-01,,
44204,62657,2020-10-01,,
44205,66851,2020-10-01,,
44206,36158,2020-10-01,,
44207,16100,2020-10-01,,
44208,20332,2020-10-01,,
44209,22112,2020-10-01,,
44210,27999,2020-10-01,,
44211,52771,2020-10-01,,
44212,33695,2020-10-01,,
44213,32772,2020-10-01,,
44214,26232,2020-10-01,,
44322,1725,2020-10-01,,
44341,27723,2020-10-01,,
44461,8541,2020-10-01,,
44462,14386,2020-10-01,,
45201,401339,2020-10-01,,
45202,160640,2020-10-01,,
45203,118394,2020-10-01,,
45204,50848,2020-10-01,,
45205,43670,2020-10-01,,
45206,59629,2020-10-01,,
45207,16822,2020-10-01,,
45208,28610,2020-10-01,,
45209,17638,2020-10-01,,
45341,25591,2020-10-01,,
45361,8639,2020-10-01,,
45382,18398,2020-10-01,,
45383,6934,2020-10-01,,
45401,19922,2020-10-01,,
45402,16564,2020-10-01,,
45403,1000,2020-10-01,,
45404,4895,2020-10-01,,
45405,15194,2020-10-01,,
45406,9906,2020-10-01,,
45421,17379,2020-10-01,,
45429,1486,2020-10-01,,
45430,2503,2020-10-01,,
45431,4826,2020-10-01,,
45441,11642,2020-10-01,,
45442,3635,2020-10-01,,
45443,3472,2020-10-01,,
46201,593128,2020-10-01,,
46203,101096,2020-10-01,,
46204,20033,2020-10-01,,
46206,19270,2020-10-01,,
46208,51994,2020-10-01,,
46210,39011,2020-10-01,,
46213,14708,2020-10-01,,
46214,13819,2020-10-01,,
46215,92403,2020-10-01,,
46216,47153,2020-10-01,,
46217,33310,2020-10-01,,
46218,123135,2020-10-01,,
46219,27490,2020-10-01,,
46220,32887,2020-10-01,,
46221,29329,2020-10-01,,
46222,41390,2020-10-01,,
46223,33080,2020-10-01,,
46224,24453,2020-10-01,,
46225,76348,2020-10-01,,
46303,405,2020-10-01,,
46304,740,2020-10-01,,
46392,20243,2020-10-01,,
46404,9705,2020-10-01,,
46452,9119,2020-10-01,,
46468,12385,2020-10-01,,
46482,6237,2020-10-01,,
46490,6944,2020-10-01,,
46491,6481,2020-10-01,,
46492,14227,2020-10-01,,
46501,7539,2020-10-01,,
46502,5445,2020-10-01,,
46505,11858,2020-10-01,,
46523,1364,2020-10-01,,
46524,1621,2020-10-01,,
46525,8546,2020-10-01,,
46527,5817,2020-10-01,,
46529,6629,2020-10-01,,
46530,10147,2020-10-01,,
46531,5517,2020-10-01,,
46532,6139,2020-10-01,,
46533,6246,2020-10-01,,
46534,5750,2020-10-01,,
46535,5115,2020-10-01,,
47201,317625,2020-10-01,,
47205,100125,2020-10-01,,
47207,47637,2020-10-01,,
47208,115690,2020-10-01,,
47209,63554,2020-10-01,,
47210,61007,2020-10-01,,
47211,142752,2020-10-01,,
47212,64612,2020-10-01,,
47213,125303,2020-10-01,,
47214,52931,2020-10-01,,
47215,44043,2020-10-01,,
47301,4517,2020-10-01,,
47302,3092,2020-10-01,,
47303,1598,2020-10-01,,
47306,8894,2020-10-01,,
47308,12530,2020-10-01,,
47311,10869,2020-10-01,,
47313,5833,2020-10-01,,
47314,10806,2020-10-01,,
47315,4118,2020-10-01,,
47324,41206,2020-10-01,,
47325,13521,2020-10-01,,
47326,28201,2020-10-01,,
47327,17969,2020-10-01,,
47328,22157,2020-10-01,,
47329,34984,2020-10-01,,
47348,19695,2020-10-01,,
47350,40440,2020-10-01,,
47353,718,2020-10-01,,
47354,892,2020-10-01,,
47355,683,2020-10-01,,
47356,346,2020-10-01,,
47357,1285,2020-10-01,,
47358,590,2020-10-01,,
47359,1126,2020-10-01,,
47360,1322,2020-10-01,,
47361,7192,2020-10-01,,
47362,30941,2020-10-01,,
47375,1058,2020-10-01,,
47381,3942,2020-10-01,,
47382,1676,2020-10-01,,
designated-city:愛知県:名古屋市,2332176,2020-10-01,,
designated-city:岡山県:岡山市,724691,2020-10-01,,
designated-city:宮城県:仙台市,1096704,2020-10-01,,
designated-city:京都府:京都市,1463723,2020-10-01,,
designated-city:熊本県:熊本市,738865,2020-10-01,,
designated-city:広島県:広島市,1200754,2020-10-01,,
designated-city:埼玉県:さいたま市,1324025,2020-10-01,,
designated-city:新潟県:新潟市,789275,2020-10-01,,
designated-city:神奈川県:横浜市,3777491,2020-10-01,,
designated-city:神奈川県:川崎市,1538262,2020-10-01,,
designated-city:神奈川県:相模原市,725493,2020-10-01,,
designated-city:静岡県:静岡市,693389,2020-10-01,,
designated-city:静岡県:浜松市,790718,2020-10-01,,
designated-city:千葉県:千葉市,974951,2020-10-01,,
designated-city:大阪府:堺市,826161,2020-10-01,,
designated-city:大阪府:大阪市,2752412,2020-10-01,,
designated-city:福岡県:福岡市,1612392,2020-10-01,,
designated-city:福岡県:北九州市,939029,2020-10-01,,
designated-city:兵庫県:神戸市,1525152,2020-10-01,,
designated-city:北海道:札幌市,1973395,2020-10-01,,
